date,David Bellemere,Greg Kadel,Karl Templer,Patrick Demarchelier,Seth Sabal,Nicholas Kettle,Paul Haggis,Terdema Ussery,T.J. Miller,Eric Weinberger,Michael Feinberg,Philip Berk,David Sawyer,John Moore,Jorge Domínguez,Jorge I. Domínguez,Blake Farenthold,Duane Hall,Johnny Iuzzini,Tony Tooke
2018-02-25,0.02,0.0044800000000000005,0.00336,0.02,0.0,0.0,0.05714285714285714,0.07317073170731707,0.05,0.0,0.01008,0.3181818181818182,0.022400000000000003,0.3469387755102041,0.02128,0.0012431999999999999,0.02,0.04032,0.0,0.008960000000000001
2018-03-04,0.01,0.0,0.0011200000000000001,0.02,0.0029008000000000003,0.0,0.05714285714285714,0.024390243902439025,0.05,0.0,0.00672,0.045454545454545456,0.01456,0.4489795918367347,0.049280000000000004,0.009945599999999999,0.01,0.01904,0.0,0.07952
2018-03-11,0.02,0.0,0.0011200000000000001,0.02,0.0,0.0,0.04285714285714286,0.0,0.03,0.0,0.00336,0.030303030303030304,0.02016,0.3673469387755102,0.01008,0.0,0.01,0.01008,0.0,0.008960000000000001
2018-03-18,0.01,0.0044800000000000005,0.005600000000000001,0.03,0.0012431999999999999,0.01,0.02857142857142857,0.024390243902439025,0.05,0.02,0.005600000000000001,0.045454545454545456,0.017920000000000002,0.32653061224489793,0.008960000000000001,0.0,0.02,0.01344,0.01,0.0044800000000000005
2018-03-25,0.01,0.0011200000000000001,0.00336,0.02,0.0016576,0.0,0.02857142857142857,0.012195121951219513,0.06,0.0,0.00336,0.045454545454545456,0.02352,0.3877551020408163,0.007840000000000001,0.0,0.01,0.008960000000000001,0.01,0.0
2018-04-01,0.01,0.00336,0.0011200000000000001,0.02,0.0,0.0,0.05714285714285714,0.0,0.1,0.0,0.0011200000000000001,0.030303030303030304,0.02576,0.3469387755102041,0.00336,0.0,0.46,0.0044800000000000005,0.01,0.0
2018-04-08,0.02,0.00336,0.02688,0.02,0.0,0.0,0.02857142857142857,0.0,0.42,0.0,0.0044800000000000005,0.015151515151515152,0.01904,0.3673469387755102,0.005600000000000001,0.0,0.05,0.01344,0.01,0.0
2018-04-15,0.01,0.00336,0.02352,0.02,0.0,0.0,0.02857142857142857,0.0,0.09,0.0,0.0044800000000000005,0.015151515151515152,0.02352,0.3673469387755102,0.00336,0.0,0.03,0.007840000000000001,0.01,0.0011200000000000001
2018-04-22,0.01,0.00336,0.005600000000000001,0.02,0.0,0.0,0.02857142857142857,0.0,0.06,0.0,0.0,0.015151515151515152,0.022400000000000003,0.40816326530612246,0.00336,0.0,0.04,0.017920000000000002,0.0,0.0
2018-04-29,0.01,0.0011200000000000001,0.0044800000000000005,0.03,0.0,0.0,0.02857142857142857,0.0,0.08,0.01,0.0011200000000000001,0.015151515151515152,0.02016,0.46938775510204084,0.007840000000000001,0.0,0.01,0.007840000000000001,0.0,0.0
2018-05-06,0.0,0.0011200000000000001,0.0011200000000000001,0.02,0.0012431999999999999,0.0,0.04285714285714286,0.0,0.07,0.0,0.00336,0.030303030303030304,0.017920000000000002,0.32653061224489793,0.0044800000000000005,0.0,0.01,0.02688,0.0,0.0
2018-05-13,0.01,0.0,0.00336,0.02,0.0,0.0,0.04285714285714286,0.0,0.12,0.0,0.00336,0.015151515151515152,0.02128,0.32653061224489793,0.007840000000000001,0.0,0.05,0.0044800000000000005,0.0,0.0
2018-05-20,0.01,0.00336,0.01904,0.02,0.0,0.0,0.04285714285714286,0.0,0.09,0.0,0.0044800000000000005,0.015151515151515152,0.0168,0.32653061224489793,0.008960000000000001,0.0,0.02,0.005600000000000001,0.0,0.0
2018-05-27,0.05,0.0,0.005600000000000001,0.01,0.0,0.0,0.04285714285714286,0.0,0.07,0.0,0.0044800000000000005,0.0,0.02576,0.30612244897959184,0.008960000000000001,0.0,0.01,0.005600000000000001,0.01,0.0
2018-06-03,0.01,0.0011200000000000001,0.005600000000000001,0.03,0.0,0.0,0.04285714285714286,0.0,0.06,0.0,0.022400000000000003,0.09090909090909091,0.017920000000000002,0.3673469387755102,0.008960000000000001,0.0,0.01,0.01008,0.01,0.0
2018-06-10,0.01,0.0011200000000000001,0.005600000000000001,0.02,0.0012431999999999999,0.0,0.04285714285714286,0.0,0.04,0.0,0.00672,0.030303030303030304,0.017920000000000002,0.3469387755102041,0.00672,0.0,0.01,0.01008,0.0,0.0011200000000000001
2018-06-17,0.01,0.00336,0.0044800000000000005,0.02,0.0012431999999999999,0.0,0.02857142857142857,0.0,0.02,0.0,0.005600000000000001,0.015151515151515152,0.012320000000000001,0.6326530612244898,0.0011200000000000001,0.0,0.02,0.00336,0.01,0.00336
2018-06-24,0.0,0.0,0.0,0.01,0.0,0.0,0.02857142857142857,0.0,0.04,0.0,0.0044800000000000005,0.015151515151515152,0.022400000000000003,0.32653061224489793,0.007840000000000001,0.0,0.01,0.00336,0.0,0.0
2018-07-01,0.01,0.0,0.0011200000000000001,0.03,0.0,0.0,0.02857142857142857,0.0,0.03,0.0,0.0011200000000000001,0.015151515151515152,0.02016,0.5510204081632653,0.0044800000000000005,0.0,0.02,0.007840000000000001,0.01,0.0
2018-07-08,0.01,0.00336,0.0011200000000000001,0.01,0.0,0.0,0.04285714285714286,0.0,0.04,0.0,0.0044800000000000005,0.015151515151515152,0.02016,0.3469387755102041,0.00336,0.0,0.01,0.00336,0.01,0.0
2018-07-15,0.01,0.00336,0.0,0.01,0.0,0.0,0.02857142857142857,0.0,0.05,0.0,0.0011200000000000001,0.015151515151515152,0.017920000000000002,0.30612244897959184,0.005600000000000001,0.0,0.01,0.007840000000000001,0.0,0.0
